Branch_code,Vehicle_Make,Year_Manufacture,Loan_Tenure,Interest_Rate,Annual_Income,Loan_Amount
APR,PERODUA,1,108,0.049,5,49000
TPI,FORD,0,108,0.040999999999999995,7,78000
SRE,TOYOTA,1,108,0.0405,10,113000
PCJ,TOYOTA,1,108,0.0399,7,79100
MLK,PROTON,1,60,0.0388,9,100000
TSK,NISSAN,1,108,0.039,9,131000
SRB,PERODUA,1,108,0.0482,4,22500
JLG,PROTON,1,108,0.0485,5,31900
JKN,PERODUA,1,84,0.0485,9,38000
TPI,MAZDA,1,108,0.0393,7,138500
ATW,TOYOTA,1,108,0.0391,6,78000
PTN,VOLKSWAGEN,1,84,0.0338,9,149000
TPI,HONDA,1,84,0.0396,10,56000
TMD,BMW,1,108,0.0393,9,270000
TST,BMW,1,108,0.0394,6,178900
PKG,PERODUA,1,108,0.0498,5,47000
BTP,MAZDA,1,108,0.0392,6,142000
MLK,PERODUA,1,108,0.0459,5,50000
JKN,PROTON,1,108,0.0397,7,114600
PCJ,SUBARU,1,108,0.0394,1,118000
PMJ,PERODUA,1,60,0.0483,5,20000
BKI,PERODUA,1,108,0.0475,5,52000
TPI,FORD,1,84,0.0388,7,78500
KMA,TOYOTA,1,36,0.0431,6,36700
IIS,HONDA,1,108,0.0404,5,63000
MJL,PERODUA,1,84,0.049,5,32600
KLA,RENAULT,1,108,0.0401,5,103000
KLG,HONDA,1,108,0.0395,6,59000
KMA,PERODUA,1,60,0.046,6,40000
RUB,PERODUA,1,108,0.0506,7,30000
KLU,HONDA,1,60,0.0418,5,30000
SBW,PROTON,1,108,0.0395,9,102700
BTP,MITSUBISHI,1,84,0.0409,8,50000
KTA,NISSAN,1,108,0.0405,6,81000
MUR,PERODUA,1,108,0.0467,5,50200
MUR,PROTON,1,108,0.0405,10,84000
IIS,PERODUA,1,108,0.0471,4,36200
TSP,HONDA,1,60,0.0382,7,100000
CGL,TOYOTA,1,60,0.0391,5,90000
KLU,HONDA,1,108,0.0409,6,75200
PCJ,TOYOTA,1,60,0.039,7,70000
KPR,PROTON,1,60,0.0447,7,43000
KK2,PROTON,1,108,0.0466,7,38400
KLM,PROTON,1,60,0.0391,9,96000
KLA,PERODUA,1,108,0.0495,4,32000
KLA,PROTON,1,108,0.0393,6,101700
SS2,PROTON,1,108,0.0394,8,114000
KMA,PERODUA,1,36,0.0485,7,37000
PCJ,FORD,0,84,0.0393,5,121450
KLA,MAZDA,1,108,0.0402,8,122000
IPH,FORD,1,60,0.0395,9,70000
MLK,MAZDA,1,60,0.0384,9,100000
PCJ,HONDA,1,108,0.0393,5,74600
BKI,PERODUA,1,108,0.0479,5,50800
MJL,PERODUA,1,84,0.0407,6,68000
TPI,TOYOTA,1,108,0.04,8,83700
KLA,PERODUA,1,108,0.0467,6,33000
BTP,MAZDA,1,108,0.0386,7,169000
MUR,PERODUA,1,84,0.0465,9,45000
SS2,HONDA,1,84,0.0381,8,123800
KMM,HONDA,1,84,0.0393,6,110000
TAB,KIA,0,84,0.0396,6,109000
BTP,PERODUA,1,60,0.040999999999999995,5,60000
IIS,TOYOTA,1,108,0.0405,4,70500
KLU,HONDA,1,60,0.0396,6,60000
TPI,PERODUA,1,60,0.046,5,43300
KSG,PERODUA,1,84,0.048,10,32000
MAS,PROTON,1,108,0.0496,7,53000
KRP,TOYOTA,1,108,0.039,6,90900
TSS,NISSAN,1,84,0.039,6,100000
KSG,MINI,1,60,0.0372,9,200000
SS2,PROTON,1,60,0.039,6,100000
MLK,PROTON,1,108,0.0492,4,36000
TPI,MAZDA,1,60,0.0386,8,106000
MUR,KIA,1,84,0.0388,8,105000
KLA,PERODUA,1,108,0.0485,5,41500
KMM,PERODUA,1,108,0.0494,3,37700
TMD,TOYOTA,1,60,0.0384,9,107000
KMN,HONDA,1,60,0.0395,9,62600
TPI,TOYOTA,1,108,0.0415,5,75000
SBW,TOYOTA,1,108,0.0402,5,84200
BBM,MAZDA,1,84,0.0393,8,115000
JTA,VOLKSWAGEN,1,108,0.0338,9,149000
JKU,PROTON,1,84,0.0398,6,108000
BKI,PROTON,1,108,0.0493,3,38400
PCJ,PERODUA,1,36,0.0467,9,40000
BBM,PERODUA,1,108,0.0504,4,31800
JLG,PERODUA,1,108,0.0496,5,44800
BTP,PROTON,1,108,0.0483,6,31400
BTU,PERODUA,1,108,0.0484,4,40500
BKI,PERODUA,1,60,0.0468,9,35000
BBT,PERODUA,1,108,0.0506,4,29700
LHD,TOYOTA,1,60,0.0395,7,64000
BYB,HONDA,1,84,0.0388,10,100000
SS2,HONDA,1,60,0.0379,5,100000
TPI,PERODUA,1,108,0.0471,7,36000
MUR,NISSAN,1,36,0.0437,7,90000
MAS,HONDA,1,108,0.0405,10,111000
TPI,PROTON,1,108,0.048,3,37600
BNT,PROTON,1,108,0.0495,10,33000
SDK,PROTON,1,108,0.0479,4,37500
BTP,PERODUA,1,84,0.046,6,33000
IIS,NISSAN,1,108,0.0406,5,57700
BBT,PEUGEOT,1,84,0.0392,6,130000
SS2,PERODUA,1,108,0.0464,7,50000
KLG,PERODUA,1,108,0.05,4,32000
KOT,PERODUA,1,84,0.045,3,50200
BBM,MAZDA,1,60,0.0382,9,124000
MLK,PERODUA,1,108,0.048,5,36000
PCJ,PERODUA,1,84,0.0459,5,30000
RHP,TOYOTA,1,60,0.0398,5,50000
MLK,PERODUA,1,36,0.049,8,28000
STM,PERODUA,1,84,0.0465,5,42000
TMD,PERODUA,1,108,0.0468,9,32000
TPI,TOYOTA,1,60,0.039,9,100000
KBH,PERODUA,1,108,0.0465,5,49000
PAR,HONDA,1,108,0.0407,6,66500
BMC,PERODUA,1,108,0.0485,5,45800
KMA,HONDA,1,108,0.0405,5,50000
SJR,TOYOTA,1,108,0.04,7,77000
SS2,MAZDA,1,84,0.0383,7,129500
KMA,MAZDA,1,108,0.039,9,133000
BKI,PERODUA,1,108,0.0493,5,33500
KLG,PROTON,1,108,0.0398,9,105000
KLA,HONDA,1,60,0.0418,6,30000
TJJ,MAZDA,1,48,0.04,9,60000
SEG,PROTON,1,108,0.0493,3,34600
TPI,PROTON,1,108,0.0473,5,50000
PCJ,SUBARU,1,84,0.0391,6,100000
KMA,HONDA,1,108,0.0397,8,110000
KLA,PERODUA,1,60,0.0454,5,44000
KMA,PERODUA,1,84,0.048,5,38900
KLU,PERODUA,1,108,0.0492,4,34700
KEP,NISSAN,1,108,0.0396,10,129000
BKI,PROTON,0,108,0.0488,5,47000
TPI,MAZDA,1,108,0.0399,7,133000
TPI,PERODUA,1,108,0.0485,5,35000
SAN,PERODUA,1,108,0.05,10,27000
KLA,PERODUA,0,108,0.0484,5,46600
STT,PERODUA,1,48,0.0516,5,20000
TPI,HONDA,1,60,0.0395,9,63000
KMN,KIA,1,108,0.0387,7,146000
SNG,PERODUA,1,108,0.0473,3,38200
SS2,HONDA,1,84,0.0392,6,70000
BTU,PERODUA,1,72,0.0465,5,45000
BTG,PERODUA,1,108,0.051,5,17900
KLA,PERODUA,1,108,0.0483,5,46700
KRP,PERODUA,1,60,0.0486,8,47000
SS2,HONDA,1,108,0.0388,6,114000
KSG,TOYOTA,1,108,0.0391,5,83600
TIN,TOYOTA,1,108,0.04,6,43000
TPI,PERODUA,1,60,0.0449,5,39400
PCJ,MERCEDES BENZ,1,84,0.038,5,150000
RUB,HONDA,1,60,0.0389,5,90000
SBW,PERODUA,0,60,0.0474,5,30000
SEL,PERODUA,1,108,0.0459,5,70000
PCJ,HONDA,1,84,0.0394,6,98000
BBD,MAZDA,1,84,0.0394,6,76500
PCJ,HONDA,1,84,0.0389,10,75000
KMA,PERODUA,1,84,0.046,5,30300
BKI,HONDA,1,108,0.039,7,123900
BTP,FORD,0,60,0.0396,5,70000
IIS,KIA,0,108,0.0415,4,44000
SS2,NISSAN,1,108,0.0399,7,130000
TIN,HONDA,1,108,0.0404,10,69600
BKI,NISSAN,1,108,0.0405,5,72000
TMD,PERODUA,1,84,0.0467,7,39000
PNG,HONDA,1,84,0.0381,9,126000
TSP,TOYOTA,1,84,0.0399,7,55000
MUR,HYUNDAI,1,108,0.0392,9,160000
MLK,PROTON,1,108,0.0485,5,45000
BBM,PROTON,1,108,0.0483,3,36000
TPI,PEUGEOT,0,48,0.0389,9,124400
KRP,PERODUA,1,84,0.0474,3,23000
TPI,NISSAN,0,108,0.0408,5,64000
SEN,TOYOTA,1,108,0.0403,6,50000
KRP,TOYOTA,1,108,0.0401,7,95000
PCJ,PERODUA,1,84,0.0458,7,32000
SBN,MAZDA,1,108,0.0391,9,138000
SBW,TOYOTA,1,84,0.0398,4,69500
PCJ,MINI,1,84,0.0383,9,200000
TPI,TOYOTA,1,108,0.0403,7,78100
SRB,PERODUA,1,108,0.047,5,33000
KCH,PERODUA,1,60,0.0468,5,30000
KTA,NISSAN,1,108,0.0405,4,64900
TSQ,GREAT WALL,0,84,0.045,9,50000
JBU,KIA,0,84,0.0393,7,155000
SEN,PROTON,1,108,0.045,9,61000
PCJ,HONDA,1,108,0.0388,6,80000
PCJ,PEUGEOT,1,108,0.0395,6,146000
MLK,PERODUA,1,108,0.049,5,32000
PCH,PERODUA,1,108,0.0485,5,38900
BTP,PERODUA,1,108,0.0487,10,50000
RWG,HONDA,1,108,0.0398,6,99800
PCJ,PERODUA,1,108,0.0479,7,43300
SNG,FORD,1,60,0.039,6,80000
PCJ,PEUGEOT,1,60,0.0377,8,115000
SS2,PERODUA,1,60,0.0446,10,40000
SRB,PERODUA,1,108,0.0505,5,31000
KLU,HONDA,1,84,0.0391,7,100000
TPI,PROTON,1,60,0.0447,7,42300
THO,PERODUA,1,108,0.0478,5,30300
KLA,TOYOTA,1,108,0.0405,5,75300
RWG,MAZDA,1,108,0.0386,6,158000
BMC,PROTON,1,108,0.048,6,34900
IIS,PROTON,1,84,0.0389,6,92800
ASR,MITSUBISHI,0,84,0.0395,6,90000
SBW,PERODUA,1,84,0.0479,6,27000
ATH,PERODUA,1,84,0.0468,9,56400
RHP,PERODUA,1,108,0.0503,4,33000
MLK,PROTON,0,84,0.0483,5,51800
PCJ,TOYOTA,1,60,0.0392,7,65000
SAT,TOYOTA,1,108,0.0399,5,85000
KMA,MAZDA,0,108,0.0404,7,97000
SS2,PERODUA,1,36,0.054000000000000006,6,20000
SS2,HONDA,1,108,0.0395,5,139000
SRE,PERODUA,1,108,0.0469,6,38900
PAP,SUBARU,0,84,0.0388,7,105000
PRI,HONDA,1,84,0.0387,5,125000
BTP,PERODUA,1,108,0.0425,5,67600
TPI,PEUGEOT,1,108,0.0401,6,97000
PCJ,VOLKSWAGEN,1,36,0.0401,9,60000
TPI,PERODUA,0,108,0.0479,5,50300
BKI,PERODUA,1,108,0.0421,5,61000
ASB,PROTON,1,84,0.048,7,28900
TSQ,TOYOTA,1,84,0.039,9,90000
KLA,TOYOTA,1,84,0.0397,10,62000
BBM,TOYOTA,1,84,0.0392,3,60000
SIL,PERODUA,1,108,0.0499,7,44400
SAN,TOYOTA,1,60,0.0393,9,100000
IPH,PERODUA,1,108,0.0484,5,44000
SKM,VOLKSWAGEN,1,108,0.0338,7,100000
SBW,PERODUA,1,108,0.0492,3,32200
SBN,NISSAN,1,108,0.0398,6,71400
BKI,PROTON,1,108,0.0493,4,36000
TPI,PERODUA,1,84,0.0445,5,50400
SS2,PERODUA,1,60,0.0448,6,38000
KMA,HONDA,1,108,0.0403,6,80000
PGG,PERODUA,1,84,0.0453,5,42000
IPG,SUBARU,1,108,0.0388,5,117000
KMT,PROTON,1,108,0.0485,10,35500
PKG,PERODUA,1,84,0.0457,5,40900
KMA,PROTON,1,84,0.0457,6,36900
MUR,HONDA,0,108,0.0401,5,100000
CRS,HONDA,1,108,0.0406,5,151300
STT,PERODUA,1,60,0.0457,7,32000
SGG,PERODUA,1,84,0.0451,7,47500
MUR,PERODUA,1,108,0.0481,5,34800
SRB,PERODUA,1,108,0.0494,5,48700
LHD,PERODUA,1,60,0.046,9,30000
MUR,PERODUA,1,108,0.0419,8,72200
TPI,PERODUA,0,108,0.0476,5,50000
TPI,PROTON,1,108,0.0484,6,40000
KMA,MAZDA,0,108,0.0399,9,100000
KIP,PROTON,1,36,0.0472,9,36600
TAB,MAZDA,1,108,0.0392,9,140000
SRB,PERODUA,1,108,0.0485,6,38800
TPI,HONDA,0,108,0.0401,6,98000
STX,HONDA,1,108,0.04,6,108000
KMA,HYUNDAI,1,108,0.0398,9,150000
SRB,PROTON,0,108,0.0505,5,34600
BTN,PERODUA,1,108,0.0433,5,72300
SS2,NISSAN,1,108,0.0393,10,120000
JLG,TOYOTA,1,108,0.0389,6,78000
TPI,PERODUA,1,60,0.0444,7,45800
PCJ,NISSAN,1,108,0.0411,5,62900
PCJ,MAZDA,1,60,0.0368,9,238000
SBJ,MAZDA,1,84,0.0391,8,100000
PCJ,PERODUA,1,108,0.0504,6,32000
TPI,PROTON,1,84,0.0453,6,43000
JKU,FORD,0,108,0.0405,7,100000
KLA,NISSAN,1,108,0.0399,5,66000
ASR,PROTON,1,60,0.0398,5,100000
KKB,TOYOTA,1,108,0.039,9,140000
SRB,PROTON,1,108,0.049,5,35000
KMA,MAZDA,1,108,0.0398,9,135000
PCJ,HONDA,1,108,0.0395,8,100600
PCJ,MAZDA,1,48,0.0388,9,110000
SBW,PERODUA,1,108,0.0491,3,36300
KMT,PERODUA,1,108,0.049,3,35400
TPI,HONDA,1,84,0.0396,9,68600
RHP,PROTON,1,72,0.0453,8,45000
TPI,VOLKSWAGEN,1,108,0.0406,5,79500
STP,MAZDA,1,84,0.0379,9,170000
TMD,PERODUA,1,84,0.0472,5,33000
TPI,TOYOTA,1,84,0.0387,7,72000
DPE,HONDA,1,108,0.0402,5,89000
KLA,TOYOTA,1,108,0.04,6,81000
CPB,MERCEDES BENZ,1,84,0.0383,9,200000
KTN,KIA,1,108,0.0406,10,150000
MUR,PERODUA,1,108,0.0462,10,36200
KRP,PROTON,1,108,0.0492,10,35500
TMD,PERODUA,1,108,0.0419,5,70800
TJJ,TOYOTA,1,60,0.0405,9,70000
TPI,PERODUA,1,108,0.049,4,38100
KTA,HONDA,0,108,0.0411,5,77000
KLA,NISSAN,1,108,0.0399,6,65500
STP,PERODUA,1,108,0.0471,5,41400
TSR,PROTON,1,108,0.04,5,107000
JKU,PROTON,1,60,0.0404,10,60000
KOT,PROTON,0,60,0.0396,7,90000
BKI,HONDA,1,108,0.039,10,121700
TPI,PERODUA,1,84,0.0468,5,36700
TIN,PROTON,1,108,0.0473,4,47900
PCJ,PERODUA,1,60,0.0408,7,65000
RHP,TOYOTA,1,108,0.04,6,114400
SPI,TOYOTA,1,108,0.0388,7,111000
DSH,PROTON,1,60,0.0389,9,90000
KLA,NISSAN,1,108,0.0407,5,72000
TPI,MERCEDES BENZ,1,108,0.0396,7,207000
CRS,HONDA,1,84,0.0386,5,100000
TPI,KIA,1,108,0.0402,5,53600
BTN,PERODUA,1,84,0.0463,9,30000
SLG,HONDA,1,60,0.0402,7,68000
BTP,HONDA,1,108,0.0408,6,65000
BTU,PERODUA,1,108,0.048,7,36000
TIN,TOYOTA,1,108,0.0394,6,61700
TPI,SUBARU,1,108,0.0398,8,133000
BKI,PROTON,1,84,0.0461,5,32000
KLA,TOYOTA,1,60,0.0395,7,60000
MUR,PERODUA,1,108,0.0485,10,22500
KK2,HONDA,1,84,0.0385,5,80000
TPI,PROTON,1,108,0.0495,5,44700
KMN,HONDA,1,36,0.0401,9,70000
TPI,PERODUA,1,60,0.0463,6,34000
BBM,PROTON,1,108,0.0475,4,46200
BTN,TOYOTA,1,48,0.0392,8,60000
KMT,PERODUA,1,108,0.0504,4,22000
JKU,PROTON,1,84,0.04,8,98400
AIT,TOYOTA,1,60,0.0399,6,40000
BBM,PERODUA,1,72,0.0422,6,60700
TPI,PERODUA,1,108,0.0483,9,43000
TPI,PERODUA,1,60,0.0502,3,15000
BBT,PROTON,1,60,0.0388,7,95000
MTB,PERODUA,1,84,0.0413,6,70000
KLA,HONDA,1,108,0.0393,6,69000
TMH,PROTON,1,108,0.0478,8,38300
SDK,PROTON,1,108,0.0479,5,37700
TPI,PERODUA,1,60,0.0443,6,44000
TPI,PERODUA,1,108,0.0424,5,72200
BHU,PROTON,1,108,0.048,5,47000
PCJ,NISSAN,1,108,0.0396,7,129200
ATW,PROTON,0,108,0.05,5,33000
TDI,PROTON,1,108,0.049,9,24800
PJA,MAZDA,1,108,0.0387,6,130000
TMD,TOYOTA,1,60,0.0393,10,115000
PCJ,HONDA,1,84,0.0381,9,135000
MLK,HONDA,0,108,0.0403,7,100000
KTN,PROTON,1,108,0.0484,4,30000
SEG,PERODUA,1,108,0.0465,6,52900
BKI,HONDA,1,108,0.0403,6,79300
TDI,PERODUA,1,108,0.0468,10,48400
PCJ,NISSAN,1,108,0.0391,9,100000
CRS,PERODUA,1,84,0.0453,5,36000
SRB,PERODUA,1,108,0.040999999999999995,6,62200
TPI,PERODUA,1,108,0.0495,5,31900
TPI,NISSAN,0,108,0.0404,8,96000
APR,PERODUA,0,108,0.048,5,45700
BKI,MITSUBISHI,1,108,0.04,5,93300
TPI,PERODUA,1,108,0.0477,5,31800
PTN,MAZDA,1,84,0.0393,6,87500
PCJ,PERODUA,1,84,0.0478,5,50200
BBB,BMW,1,60,0.0371,9,170000
TPI,HONDA,1,108,0.0405,6,80600
TPI,HONDA,1,84,0.0395,7,75000
KJN,PROTON,1,108,0.0481,5,34600
LBN,HONDA,1,108,0.040999999999999995,9,51800
MTB,TOYOTA,1,60,0.0396,7,60000
TPI,HONDA,1,84,0.0395,5,105000
KSG,TOYOTA,1,60,0.0385,7,67000
PCJ,MAZDA,1,108,0.0394,6,113000
CPB,HONDA,1,108,0.0392,8,73000
TAB,TOYOTA,1,108,0.0408,8,83000
APR,PERODUA,1,108,0.0474,4,32000
TPI,PERODUA,1,84,0.0484,8,39300
TPI,MAZDA,1,60,0.039,9,70000
KEP,NISSAN,0,36,0.0419,7,50000
SMY,PERODUA,1,108,0.0464,6,32600
SS2,HONDA,1,108,0.0404,5,70600
TPI,PERODUA,1,84,0.0451,7,46000
KMA,HONDA,1,108,0.0396,5,68700
PCJ,PROTON,1,84,0.0383,9,100000
TMD,PERODUA,1,60,0.0469,10,27500
TPI,PERODUA,1,108,0.0483,5,47000
PCJ,MAZDA,1,84,0.039,6,110000
BTN,PERODUA,1,108,0.05,5,35000
GRN,PERODUA,1,60,0.0449,5,40000
SMB,LEXUS,0,60,0.0375,7,300000
KMA,HONDA,0,48,0.0392,9,100000
MLK,PERODUA,1,72,0.046,5,44000
TPI,TOYOTA,1,84,0.0399,5,67300
STW,TOYOTA,1,108,0.0389,6,100000
PCJ,TOYOTA,1,108,0.0389,7,75500
TPI,PROTON,1,108,0.04,7,114000
SRD,PERODUA,1,108,0.05,4,32000
PCJ,HONDA,1,60,0.0386,3,91000
ASR,PERODUA,1,96,0.0418,6,60000
PCJ,PERODUA,1,108,0.0488,6,33700
TAB,KIA,1,108,0.0403,7,77600
SGG,TOYOTA,1,84,0.0395,7,90000
TPI,PERODUA,1,60,0.0463,8,40000
BKI,PERODUA,1,108,0.0491,5,44100
MLK,PERODUA,1,108,0.0455,7,50500
TMD,HONDA,1,108,0.0395,7,100000
PCJ,PERODUA,1,60,0.046,8,30000
SRB,PERODUA,1,108,0.049,4,31900
KKB,PERODUA,1,108,0.0488,10,35500
PCJ,PERODUA,1,84,0.0451,5,41500
SS2,HONDA,1,84,0.0382,9,151500
SRB,PROTON,0,108,0.049,5,36700
KIP,ISUZU,0,84,0.0397,5,77600
KMA,BMW,1,60,0.0376,9,249000
TGK,PROTON,0,108,0.0481,8,33800
BKI,PROTON,1,108,0.0485,7,48500
BKI,PERODUA,1,108,0.0487,3,34100
MUR,KIA,1,84,0.038,8,140000
UKP,PERODUA,1,108,0.0421,6,70000
MUR,PROTON,0,108,0.0484,5,30000
TPI,HONDA,1,108,0.0397,7,76800
TMD,PERODUA,1,84,0.0454,10,46700
PCJ,HONDA,1,108,0.0396,6,83000
SS2,HONDA,1,108,0.0392,5,76800
TPI,MITSUBISHI,1,84,0.0381,6,127000
SPI,MAZDA,1,84,0.0388,5,100000
LKP,PROTON,1,60,0.0393,8,70000
MLR,PERODUA,1,108,0.048,5,37000
BBM,HONDA,1,108,0.0403,5,74000
PCJ,BMW,1,108,0.0388,9,176000
BTU,HONDA,1,108,0.0409,6,75100
MJL,PERODUA,1,108,0.0415,6,72300
PCJ,TOYOTA,1,108,0.0403,5,75700
KSG,PERODUA,1,108,0.0475,5,39000
RHP,PERODUA,1,108,0.051,5,35400
BTP,PERODUA,1,108,0.0472,4,34500
BTP,PROTON,1,108,0.048,4,35500
IIS,PERODUA,1,84,0.0425,6,42000
SLY,PROTON,1,60,0.046,10,40000
KBH,HONDA,1,108,0.0397,6,81000
PCJ,MERCEDES BENZ,1,84,0.0384,9,200000
BTP,HONDA,1,108,0.04,8,108400
TIN,MAZDA,1,108,0.0387,7,140000
KLA,TOYOTA,1,84,0.0394,7,81000
BTP,TOYOTA,1,72,0.0395,5,50000
BKI,PERODUA,1,108,0.0492,6,33500
PNG,PERODUA,1,108,0.0483,5,48000
SBW,NISSAN,0,108,0.0401,7,100000
KLA,TOYOTA,1,60,0.04,9,50000
BBM,PROTON,0,108,0.0504,5,35300
DGN,PERODUA,1,108,0.048,4,44100
KUL,PERODUA,1,60,0.0479,6,21100
RWG,TOYOTA,1,108,0.0394,6,64000
BKI,ISUZU,0,108,0.0408,5,105000
SRD,HONDA,1,108,0.0402,6,87000
BKI,PERODUA,1,108,0.0499,5,23000
BBD,HONDA,1,108,0.0392,6,97500
SBN,PERODUA,1,84,0.0455,5,40000
KLA,PROTON,1,108,0.0398,8,101800
KJN,PROTON,1,108,0.0482,5,33200
DSC,VOLKSWAGEN,1,84,0.0394,5,55000
TPI,MAZDA,1,84,0.0389,9,130000
LBS,HONDA,1,60,0.0396,9,60000
TDD,PERODUA,1,48,0.0465,10,32600
MLK,PROTON,0,108,0.0497,5,30000
PAP,PERODUA,1,60,0.045,7,45700
SRB,PERODUA,1,84,0.0473,8,24100
TGK,PERODUA,1,108,0.0497,5,50000
PCJ,SUBARU,0,84,0.0389,6,95000
PCJ,HONDA,1,108,0.0409,5,74500
PMJ,PERODUA,1,48,0.0428,5,40000
BTP,PERODUA,1,108,0.0492,6,45600
PTN,HONDA,1,108,0.0393,6,66000
TST,PEUGEOT,1,84,0.0383,7,100000
TSS,PERODUA,1,60,0.0479,5,32000
KTN,PROTON,1,108,0.0485,5,49500
KTA,MITSUBISHI,1,108,0.0399,8,127000
TPI,MITSUBISHI,0,60,0.039,6,100000
MLK,PROTON,1,60,0.0438,5,58000
SS2,PERODUA,1,48,0.0511,6,20000
TPI,PROTON,1,84,0.0464,5,33600
SMY,HONDA,1,108,0.0402,7,63000
DGN,PERODUA,1,108,0.048,5,49500
TPI,NISSAN,1,108,0.0387,7,125000
SMY,HONDA,1,60,0.0391,6,70000
KLA,PROTON,1,60,0.046,5,30000
MCA,PROTON,1,108,0.0514,5,34500
TPI,PERODUA,1,60,0.0468,10,34000
DSC,PERODUA,1,84,0.0453,5,48400
KMA,HONDA,1,108,0.0399,5,65000
SIL,HONDA,1,108,0.0404,7,70000
SEG,PROTON,1,108,0.0487,4,30000
TPI,TOYOTA,1,108,0.0403,8,80000
TPI,PERODUA,1,108,0.0458,5,50400
SRB,HONDA,1,84,0.0388,8,100000
SBW,NISSAN,1,108,0.0416,10,44900
TMD,PERODUA,0,84,0.0464,5,44400
SDK,PERODUA,1,84,0.0469,5,45000
KEP,PERODUA,1,108,0.047,5,30200
LIN,TOYOTA,1,72,0.0395,5,79100
SRB,PERODUA,1,60,0.0483,5,20000
TPI,NISSAN,0,108,0.0411,6,65000
TPI,HONDA,1,108,0.0387,9,139600
PCJ,BMW,1,108,0.0389,9,289400
BTU,PROTON,1,108,0.0398,6,101000
MLK,PERODUA,1,108,0.0468,10,36200
BBB,PERODUA,1,108,0.0461,5,50000
SS2,PERODUA,1,108,0.0467,10,38000
OUG,PERODUA,1,108,0.0493,4,44400
BKI,PERODUA,1,108,0.049,5,38900
KTA,HONDA,1,108,0.04,5,109800
PCJ,TOYOTA,1,60,0.0382,9,70000
JKU,PERODUA,1,84,0.0407,8,67600
BBM,PERODUA,1,108,0.0494,5,32900
LMN,PERODUA,1,60,0.0426,9,45000
IIS,TOYOTA,1,108,0.0402,5,80500
PCJ,SUBARU,0,108,0.0403,6,112000
MLK,PROTON,1,108,0.047,5,60000
BTP,PROTON,1,108,0.0476,6,43000
SGG,TOYOTA,1,108,0.04,5,116500
IIS,PERODUA,1,108,0.0503,5,33500
TPI,PERODUA,1,60,0.0481,5,26000
PCJ,PROTON,1,108,0.0467,5,29500
KMA,HONDA,1,108,0.0408,6,66000
PRI,HYUNDAI,0,108,0.0402,10,118000
SS2,HONDA,1,108,0.0403,5,74000
SS2,HONDA,1,108,0.0397,6,78600
RHP,PERODUA,1,108,0.0471,4,35500
SBV,MAZDA,1,108,0.0405,5,100000
TPI,PROTON,1,108,0.0503,5,36700
MUR,PERODUA,1,108,0.0466,5,44800
TPI,KIA,1,60,0.04,9,52000
RUB,PERODUA,1,108,0.0504,4,32000
NTB,PERODUA,1,108,0.0489,5,35500
BKS,FORD,1,108,0.0395,7,115700
SKD,PROTON,1,108,0.0473,7,47900
KPL,PERODUA,0,108,0.05,3,34900
UEP,HONDA,1,108,0.0394,10,65000
SBW,PERODUA,1,108,0.0485,5,49000
TPI,PERODUA,1,108,0.0468,6,36000
TPI,PERODUA,1,60,0.0459,6,45000
TAB,PERODUA,1,84,0.0476,6,43400
JLG,PROTON,1,108,0.04,9,101500
BKI,PERODUA,1,108,0.049,5,39000
KMA,NISSAN,1,108,0.0392,7,70000
KLA,HONDA,1,108,0.0398,8,93000
TSG,PERODUA,1,108,0.049,5,32000
PTN,TOYOTA,1,84,0.0384,9,116000
TIN,TOYOTA,1,60,0.04,5,50000
IIS,PERODUA,1,60,0.0474,10,30000
BTP,PERODUA,1,108,0.047,5,33500
SRB,PROTON,1,108,0.0479,5,36800
KBH,HONDA,1,108,0.0404,6,70500
KPR,HONDA,1,108,0.0389,5,110400
KPR,HONDA,1,84,0.0389,6,70000
MLR,BMW,1,108,0.0384,9,266000
AMP,PERODUA,1,108,0.0462,10,50000
KMA,HONDA,1,108,0.0403,4,77900
PCJ,TOYOTA,1,36,0.0413,6,50000
KTA,MAZDA,1,108,0.0388,9,120400
TPI,PROTON,1,108,0.0484,5,30200
PCJ,HONDA,1,108,0.0392,9,95400
SGP,TOYOTA,1,108,0.0401,6,72400
PCG,PROTON,1,108,0.0398,7,101000
BBM,MERCEDES BENZ,1,84,0.0383,9,200000
KMA,MAZDA,1,84,0.0378,9,150000
KMA,PERODUA,1,60,0.046,5,30000
MUR,PERODUA,0,108,0.0484,4,39000
SGG,TOYOTA,1,108,0.0392,7,76000
PCJ,HONDA,1,84,0.0389,8,135800
MUR,NISSAN,1,84,0.0381,8,120000
BKI,HONDA,1,108,0.0394,5,76700
MJL,MITSUBISHI,1,48,0.039,9,90000
TPI,TOYOTA,1,84,0.039,10,71500
TPI,PERODUA,1,60,0.0458,6,39000
MLK,PERODUA,1,36,0.0522,9,20000
SS2,HONDA,1,108,0.0396,4,66000
BKI,PROTON,1,108,0.0485,5,52400
TMD,PROTON,1,108,0.0498,5,46500
APR,PERODUA,1,108,0.0475,5,40000
PCH,PERODUA,0,108,0.0517,4,31000
SAM,FORD,0,108,0.0405,8,115000
IIS,TOYOTA,1,108,0.0397,6,170000
KMA,PERODUA,1,108,0.049,5,21500
TMD,HONDA,1,108,0.0408,5,65000
SRN,PERODUA,1,108,0.0491,5,31900
SS2,HONDA,1,84,0.039,7,90000
